------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |               Ritz    |  Rel. |     Aki    | Acc. |                 Ei           Ek                  | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |               Line  |
            Wavelength |            Wavelength |  Int. |     s^-1   |      |                (eV)         (eV)                 |                 |            |           |         |    |   Ref. |               Ref.  |
             Vac (nm)  |             Vac (nm)  |  (?)  |            |      |                                                  |                 |            |           |         |    |        |                     |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     379.68895462      |       |            |      |   10.201625881         -     13.46611372015      |     2p - 10d    |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     379.68896         |       |            |      |                                                  |                 |            |           |         |    |        |                c47  |
                       |     379.68896872      |       |            |      |   10.201625881         -    [13.46611359914]     |     2p - 10d    |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |     379.689006        |       |            |      |   10.201625881         -    [13.466113274]       |     2p - 10s    |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |        |                     |
     383.43128         |     383.4312558       |       |            |      |   10.2015805055        -    [13.434207599]       |     2p - 9d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |      L46,L1890,c27  |
                       |     383.431308        |       |            |      |   10.2015805055        -    [13.434207154]       |     2p - 9s     |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
     383.43157         |     383.43153         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c48  |
                       |     383.431775        |       |            |      |   10.201584886324      -    [13.434207604]       |     2s - 9p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     383.431834        |       |            |      |   10.201584886324      -    [13.434207106]       |     2s - 9p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
     383.43415         |     383.43405         |       |  1.2159e+05| AA   |  [10.201604]           -    [13.43420789]        |      2 - 9      |            |           |         |    |  T8637 |  L46,L1890,c27,c49  |
                       |     383.4366382       |       |            |      |   10.201625881         -    [13.434207599]       |     2p - 9d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
     383.43666         |     383.4366185       |       |            |      |   10.201625881         -    [13.434207764]       |     2p - 9d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |      L46,L1890,c27  |
     383.43666         |     383.43662         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c50  |
                       |     383.436691        |       |            |      |   10.201625881         -    [13.434207154]       |     2p - 9s     |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |        |                     |
     388.79614         |     388.79618833      |       |            |      |   10.2015805055        -     13.389602158235     |     2p - 8d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |      L46,L1890,c27  |
                       |     388.79626623      |       |            |      |   10.2015805055        -     13.389601519456     |     2p - 8s     |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
     388.79644         |     388.79647         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c51  |
     388.796693785     |     388.796693785     |       |            |      |   10.201584886324      -     13.389602394575     |     2s - 8d     |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |             L11759  |
                       |     388.796722479     |       |            |      |   10.201584886324      -    [13.38960215929]     |     2s - 8p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
     388.796722609     |     388.796722609     |       |            |      |   10.201584886324      -     13.389602158235     |     2s - 8d     |  2S  - 2D  | 1/2 - 3/2 |  2 - 4  | E2 |        |             L11759  |
     388.796800513     |     388.796800513     |       |            |      |   10.201584886324      -     13.389601519456     |     2s - 8s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |             L11759  |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
