---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |                Ritz    |    Rel. |     Aki    | Acc. |                 Ei           Ek                   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |       Line  |
             Wavelength |             Wavelength |    Int. |     s^-1   |      |                (eV)         (eV)                  |                 |            |           |         |    |   Ref. |       Ref.  |
              Vac (nm)  |              Vac (nm)  |    (?)  |            |      |                                                   |                 |            |           |         |    |        |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
      92.3148           |      92.3150297        |   12000 |  2.1425e+05| AAA  |    0.0000000000000     -     13.43055338          |     1s - 9      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |      L8834  |
      92.315027375      |      92.315027375      |         |            |      |    0.0000000000000     -    [13.4305534081]       |     1s - 9d     |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |  L15291c37  |
      92.31503159       |      92.31503159       |         |            |      |    0.0000000000000     -    [13.430552794]        |     1s - 9s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |  L15291c36  |
      92.3151           |      92.31502850       |         |            |      |    0.0000000000000     -    [13.430553244]        |     1s - 9p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |      L8445  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
      92.3151           |      92.31503193       |         |            |      |    0.0000000000000     -    [13.430552746]        |     1s - 9p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |      L8445  |
                        |      92.6225665291     |         |            |      |    0.0000000000000     -     13.38595929683       |     1s - 8s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |             |
      92.6229           |      92.6225621017     |         |            |      |    0.0000000000000     -    [13.38595993669]      |     1s - 8p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |      L8445  |
      92.6229           |      92.6225670063     |         |            |      |    0.0000000000000     -    [13.38595922787]      |     1s - 8p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |      L8445  |
      92.6249           |      92.6225637        |   11000 |  3.8694e+05| AAA  |    0.0000000000000     -     13.38596018          |     1s - 8      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |      L8834  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
      93.074815048      |      93.074815048      |         |            |      |    0.0000000000000     -    [13.3209172093]       |     1s - 7d     |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |  L15291c37  |
      93.07482418       |      93.07482418       |         |            |      |    0.0000000000000     -    [13.320915903]        |     1s - 7s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |  L15291c36  |
      93.0749           |      93.07481750       |         |            |      |    0.0000000000000     -    [13.320916858]        |     1s - 7p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |      L8445  |
      93.0749           |      93.07482490       |         |            |      |    0.0000000000000     -    [13.320915800]        |     1s - 7p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |      L8445  |
      93.0751           |      93.0748200        |    5600 |  7.5684e+05| AAA  |    0.0000000000000     -     13.32091733          |     1s - 7      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |      L8834  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
      93.7801           |      93.7803361139     |         |  1.9728e+07| AAA  |    0.0000000000000     -    [13.22070230183]      |     1s - 6p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |      L8445  |
      93.7801           |      93.7803480320     |         |  1.9728e+07| AAA  |    0.0000000000000     -    [13.22070062167]      |     1s - 6p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |      L8445  |
                        |      93.7803468734     |         |            |      |    0.0000000000000     -     13.22070078500       |     1s - 6s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |             |
      93.7814           |      93.780340         |   19000 |  1.6440e+06| AAA  |    0.0000000000000     -     13.22070305          |     1s - 6      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |      L8834  |
      94.9742           |      94.97429095       |         |  3.4375e+07| AAA  |    0.0000000000000     -     13.054500256         |     1s - 5p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |      L3545  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
      94.9742           |      94.974298         |   33000 |  4.1250e+06| AAA  |    0.0000000000000     -     13.0545009           |     1s - 5      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |      L3545  |
      94.9742           |      94.97431207       |         |  3.4375e+07| AAA  |    0.0000000000000     -     13.054497353         |     1s - 5p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |      L3545  |
      94.974284001      |      94.974283998      |         |            |      |    0.0000000000000     -    [13.0545012118]       |     1s - 5d     |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |  L15291c37  |
